genres,movie_id,original_title,plot,cast
['Comedy'],10073,Date Movie,"Spoof of romantic comedies which focuses on a man (Campbell), his crush (Hannigan), his parents (Coolidge, Willard), and her father (Griffin).","['Alyson Hannigan', 'Adam Campbell', 'Sophie Monk', 'Jennifer Coolidge', 'Fred Willard', 'Meera Simhan']"
"['Adventure', 'Fantasy', 'Animation', 'Family']",16690,Return to Never Land,"The classic tale of 'Peter Pan' continues in Disney's sequel 'Return to Never Land'. In 1940 on a world besieged by World War II, Wendy, now grown up, has two children, one of them is her daughter, Jane.","['Harriet Owen', 'Blayne Weaver', 'Jeff Bennett', 'Kath Soucie', 'Corey Burton', 'Corey Burton']"
"['History', 'Drama']",273895,Selma,"""Selma,"" as in Alabama, the place where segregation in the South was at its worst, leading to a march that ended in violence, forcing a famous statement by President Lyndon B. Johnson that ultimately led to the signing of the Civil Rights Act.","['David Oyelowo', 'Tom Wilkinson', 'Carmen Ejogo', 'André Holland', 'Omar J. Dorsey', 'Alessandro Nivola']"
"['Family', 'Animation', 'Adventure']",14873,The Jungle Book 2,"Mowgli, missing the jungle and his old friends, runs away from the man village unaware of the danger he's in by going back to the wild.","['John Goodman', 'Haley Joel Osment', 'Mae Whitman', 'Connor Funk', 'Bob Joles', 'Tony Jay']"
"['Thriller', 'Horror', 'Drama', 'Mystery']",8968,Boogeyman,"Every culture has one – the horrible monster fueling young children's nightmares. But for Tim, the Boogeyman still lives in his memories as a creature that devoured his father 16 years earlier. Is the Boogeyman real? Or did Tim make him up to explain why his father abandoned his family?","['Emily Deschanel', 'Barry Watson', 'Skye McCole Bartusiak', 'Lucy Lawless', 'Tory Mussett', 'Olivia Tennet']"
"['Thriller', 'Drama', 'Mystery']",9963,Premonition,"A depressed housewife who learns her husband was killed in a car accident the day previously, awakens the next morning to find him alive and well at home, and then awakens the day after to a world in which he is still dead.","['Sandra Bullock', 'Julian McMahon', 'Courtney Taylor Burness', 'Nia Long', 'Shyann McClure', 'Kate Nelligan']"
"['Animation', 'Family']",15655,The Tigger Movie,"As it happens, everybody - Pooh, Piglet, Eeyore, Roo, Rabbit, Owl - is busy preparing a suitable winter home for Eeyore. When everything they do seems to get undone by Tigger's exuberant bouncing, Rabbit suggest Tigger go outside and find other tiggers to bounce with - a notion Tigger finds ridiculous because, after all, he's ""the onliest one"" Or is he?","['Jim Cummings', 'Nikita Hopkins', 'Ken Sansom', 'John Fiedler', 'Peter Cullen', 'Andre Stojka']"
"['Horror', 'Thriller', 'Mystery']",21208,Orphan,"A married couple with a rocky past adopt 9-year old, Esther to fill the void created by a recently-stillborn baby. However, Esther is not quite who she seems.","['Vera Farmiga', 'Peter Sarsgaard', 'Isabelle Fuhrman', 'CCH Pounder', 'Jimmy Bennett', 'Margo Martindale']"
"['Adventure', 'Drama', 'Family']",272878,Max,A dog that helped soldiers in Afghanistan returns to the U.S. and is adopted by his handler's family after suffering a traumatic experience.,"['Thomas Haden Church', 'Josh Wiggins', 'Lauren Graham', 'Robbie Amell', 'Mia Xitlali', 'Luke Kleintank']"
"['Action', 'Adventure', 'Comedy']",9760,Epic Movie,"When Edward, Peter, Lucy and Susan each follow their own path, they end up finding themselves at Willy's Chocolate factory. Walking through a wardrobe, they discover the world of Gnarnia, which is ruled by the White Bitch. Meeting up with characters such as Harry Potter and Captain Jack Swallows, the newly reunited family must team up with Aslo, a wise-but-horny lion to stop the white bitch's army","['Kal Penn', 'Adam Campbell', 'Jennifer Coolidge', 'Jayma Mays', 'Faune A. Chambers', 'Crispin Glover']"
